A,WC,Analytic,Clout,Authentic,Tone,WPS,Sixltr,Dic,function,pronoun,ppron,i,we,you,shehe,they,ipron,article,prep,auxverb,adverb,conj,negate,verb,adj,compare,interrog,number,quant,affect,posemo,negemo,anx,anger,sad,social,family,friend,female,male,cogproc,insight,cause,discrep,tentat,certain,differ,percept,see,hear,feel,bio,body,health,sexual,ingest,drives,affiliation,achieve,power,reward,risk,focuspast,focuspresent,focusfuture,relativ,motion,space,time,work,leisure,home,money,relig,death,informal,swear,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,Colon,SemiC,QMark,Exclam,Dash,Quote,Apostro,Parenth,OtherP
" these antivaxxers are now literally killing childrennnon facebook antivaxxers urged a mom not to give her son tamiflu he later died ",21,55.40,99.00,1.00,1.00,21.00,33.33,76.19,38.10,14.29,9.52,0.00,0.00,0.00,9.52,0.00,4.76,4.76,4.76,4.76,4.76,0.00,4.76,14.29,4.76,4.76,0.00,0.00,0.00,4.76,0.00,4.76,0.00,4.76,0.00,33.33,9.52,0.00,9.52,9.52,4.76,0.00,0.00,0.00,0.00,0.00,4.76,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.52,4.76,0.00,4.76,0.00,0.00,4.76,14.29,0.00,9.52,0.00,0.00,9.52,0.00,4.76,0.00,0.00,0.00,9.52,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
" asking questions of your doctor is one thing but denying science for fb quackery is going to get us all killed nnvaccinate your damn kids and use tamiflu it works it helps it saves lives ",35,44.59,98.85,1.94,1.91,35.00,17.14,88.57,40.00,20.00,8.57,0.00,2.86,5.71,0.00,0.00,11.43,0.00,8.57,5.71,0.00,5.71,0.00,28.57,0.00,0.00,0.00,2.86,2.86,8.57,2.86,5.71,0.00,5.71,0.00,20.00,0.00,0.00,0.00,0.00,11.43,2.86,2.86,0.00,2.86,2.86,2.86,0.00,0.00,0.00,0.00,5.71,0.00,5.71,0.00,0.00,20.00,8.57,2.86,5.71,2.86,0.00,0.00,20.00,2.86,2.86,2.86,0.00,0.00,8.57,0.00,0.00,0.00,0.00,2.86,5.71,2.86,2.86,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
" the flu kills a fuck load more people than tamiflu",10,99.00,15.86,3.37,1.00,10.00,10.00,80.00,30.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00,10.00,0.00,0.00,0.00,0.00,10.00,20.00,20.00,0.00,0.00,10.00,20.00,0.00,20.00,0.00,20.00,0.00,10.00,0.00,0.00,0.00,0.00,10.00,0.00,0.00,0.00,0.00,0.00,10.00,0.00,0.00,0.00,0.00,20.00,0.00,10.00,10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,10.00,10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
" for a med mal case iuve been working on iuve done a great deal of research into tamiflu studies do recommend giving tamiflu especially to the very young  very old and immuno compromised tamiflu has minimal side effects so itus always best to err  on the side of safety",49,96.28,65.86,33.04,99.00,49.00,22.45,75.51,42.86,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.16,16.33,8.16,8.16,4.08,0.00,12.24,6.12,2.04,0.00,0.00,0.00,8.16,8.16,0.00,0.00,0.00,0.00,4.08,0.00,0.00,0.00,0.00,6.12,2.04,2.04,0.00,0.00,4.08,0.00,0.00,0.00,0.00,0.00,2.04,0.00,2.04,0.00,0.00,10.20,2.04,4.08,2.04,4.08,2.04,4.08,4.08,0.00,16.33,0.00,10.20,6.12,6.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
" i read that she did in fact give her child the tamiflu and then the child died the media wrote that article without ever interviewing the mother",27,66.94,93.07,4.97,25.77,27.00,14.81,88.89,55.56,18.52,11.11,3.70,0.00,0.00,7.41,0.00,7.41,14.81,7.41,3.70,3.70,7.41,3.70,18.52,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,25.93,3.70,0.00,11.11,0.00,11.11,0.00,0.00,0.00,0.00,7.41,3.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.41,0.00,0.00,7.41,0.00,0.00,11.11,3.70,3.70,11.11,0.00,3.70,7.41,11.11,0.00,0.00,0.00,0.00,3.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
" although she should have given her son the tamilfu most people can recover from the flu on their own without it itus very unlucky for the mom and kid that he died i donut think they even prescribe tamiflu if youure not seen in the first two days of getting the flu",52,70.38,64.99,2.90,5.37,52.00,15.38,88.46,53.85,15.38,11.54,1.92,0.00,0.00,5.77,3.85,3.85,9.62,11.54,5.77,3.85,5.77,3.85,13.46,3.85,1.92,0.00,3.85,1.92,1.92,0.00,1.92,0.00,0.00,0.00,17.31,3.85,0.00,5.77,3.85,13.46,1.92,0.00,3.85,3.85,0.00,7.69,1.92,1.92,0.00,0.00,5.77,0.00,5.77,0.00,0.00,7.69,0.00,3.85,1.92,1.92,0.00,5.77,5.77,0.00,7.69,0.00,3.85,3.85,0.00,0.00,0.00,0.00,0.00,1.92,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
" the original post was seeking advice for her two other children with confirmed influenza she refused medical advice the tamiflu then the third chills became ill tested positive for influenza and died bansmv vaccinessavelives ",34,93.26,92.92,1.00,98.87,34.00,32.35,79.41,35.29,8.82,5.88,0.00,0.00,0.00,5.88,0.00,2.94,8.82,8.82,2.94,0.00,5.88,0.00,11.76,5.88,0.00,0.00,5.88,0.00,5.88,5.88,0.00,0.00,0.00,0.00,17.65,0.00,0.00,5.88,0.00,8.82,2.94,0.00,0.00,0.00,2.94,2.94,0.00,0.00,0.00,0.00,8.82,0.00,8.82,0.00,0.00,8.82,0.00,0.00,5.88,2.94,0.00,11.76,0.00,2.94,5.88,0.00,0.00,2.94,2.94,0.00,0.00,0.00,0.00,2.94,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
" poor kid he didnut die from lack of tamiflu medical scandal in uk did you know? new product from ted bundy vaccine range any day now (merck is convicted felon  how many  did they kill with vioxx? doesnut believe parents should know ) ",42,74.10,92.33,2.82,1.00,14.00,21.43,69.05,33.33,7.14,7.14,0.00,0.00,2.38,2.38,2.38,0.00,0.00,11.90,9.52,4.76,2.38,0.00,21.43,4.76,0.00,2.38,0.00,4.76,4.76,0.00,4.76,0.00,2.38,0.00,11.90,2.38,0.00,0.00,2.38,19.05,7.14,4.76,4.76,2.38,0.00,0.00,0.00,0.00,0.00,0.00,2.38,0.00,2.38,0.00,0.00,9.52,2.38,0.00,4.76,0.00,2.38,4.76,16.67,0.00,9.52,0.00,2.38,7.14,2.38,0.00,0.00,2.38,0.00,4.76,0.00,0.00,0.00,0.00,0.00,0.00,9.52,0.00,0.00,0.00,0.00,4.76,0.00,0.00,0.00,0.00,4.76,0.00
" yes tamiflu has some side effects my uncle suffered through some of them but here's the kicker he's alive also tamiflu is medicine not vaccine  are anti vaxers so insane they are now anti any nonvegetable based remedies? ",38,12.81,50.00,9.58,2.51,38.00,23.68,76.32,44.74,10.53,10.53,2.63,0.00,0.00,2.63,5.26,0.00,2.63,5.26,13.16,10.53,7.89,2.63,21.05,5.26,0.00,0.00,0.00,7.89,2.63,0.00,2.63,0.00,0.00,2.63,10.53,2.63,0.00,0.00,5.26,18.42,2.63,5.26,0.00,7.89,0.00,5.26,0.00,0.00,0.00,0.00,5.26,0.00,5.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.63,18.42,0.00,5.26,0.00,2.63,2.63,0.00,0.00,0.00,0.00,0.00,2.63,2.63,0.00,0.00,2.63,0.00,0.00,7.89,0.00,0.00,0.00,0.00,2.63,0.00,0.00,0.00,5.26,0.00,0.00
" yes she had the right to not follow the medical advice and not give the child the tamiflu and let him die instead all within her rights dumb as fuck cruel but and stupid beyond comprehension but absolutely her right  god bless america",43,50.06,32.10,21.56,1.00,43.00,13.95,93.02,53.49,9.30,9.30,0.00,0.00,0.00,9.30,0.00,0.00,9.30,9.30,4.65,6.98,13.95,4.65,13.95,9.30,2.33,0.00,0.00,2.33,11.63,2.33,9.30,0.00,9.30,0.00,16.28,0.00,0.00,6.98,2.33,18.60,2.33,0.00,0.00,0.00,4.65,11.63,0.00,0.00,0.00,0.00,4.65,0.00,2.33,2.33,0.00,4.65,0.00,0.00,4.65,0.00,0.00,2.33,9.30,0.00,11.63,2.33,9.30,0.00,0.00,0.00,0.00,0.00,4.65,2.33,9.30,4.65,0.00,4.65,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
" facebook has had ample opportunity to shut this down since they clearly aren't going to i think this alone never mind every other shit they commit is a reason to shut them down n",34,42.68,27.83,99.00,1.76,34.00,8.82,91.18,58.82,20.59,11.76,2.94,0.00,0.00,0.00,8.82,8.82,2.94,17.65,11.76,5.88,0.00,5.88,23.53,8.82,0.00,0.00,0.00,2.94,8.82,2.94,5.88,0.00,2.94,2.94,11.76,0.00,0.00,0.00,0.00,26.47,5.88,5.88,0.00,0.00,11.76,5.88,0.00,0.00,0.00,0.00,2.94,2.94,0.00,0.00,0.00,11.76,2.94,2.94,5.88,2.94,0.00,2.94,14.71,2.94,20.59,2.94,11.76,5.88,0.00,2.94,0.00,0.00,0.00,0.00,2.94,2.94,0.00,0.00,0.00,0.00,2.94,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.94,0.00,0.00
" in this day and age we have medical science deniers that  cost us  lives they ought to be prosecuted and locked upnnon facebook antivaxxers urged a mom not to give her son tamiflu he later died  via ",37,48.08,99.00,1.65,25.77,37.00,18.92,81.08,48.65,18.92,13.51,0.00,5.41,0.00,5.41,2.70,5.41,2.70,10.81,8.11,0.00,5.41,2.70,16.22,2.70,2.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,24.32,5.41,0.00,5.41,5.41,5.41,0.00,0.00,2.70,0.00,0.00,2.70,0.00,0.00,0.00,0.00,5.41,0.00,5.41,0.00,0.00,10.81,8.11,0.00,2.70,0.00,0.00,2.70,10.81,0.00,13.51,0.00,5.41,8.11,2.70,2.70,0.00,2.70,0.00,2.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
" i literally cannot comprehend what it's like to be someone who thinks why don't i get medical advice got my kids from this facebook groupnnon facebook antivaxxers urged a mom not to give her son tamiflu he later died ",39,18.82,84.75,17.46,25.77,39.00,23.08,89.74,51.28,25.64,12.82,7.69,0.00,0.00,5.13,0.00,12.82,2.56,10.26,10.26,2.56,0.00,7.69,23.08,2.56,5.13,7.69,0.00,2.56,0.00,0.00,0.00,0.00,0.00,0.00,30.77,5.13,0.00,5.13,5.13,15.38,5.13,2.56,0.00,2.56,0.00,5.13,0.00,0.00,0.00,0.00,2.56,0.00,2.56,0.00,0.00,12.82,7.69,0.00,0.00,5.13,0.00,5.13,17.95,0.00,2.56,0.00,0.00,2.56,0.00,5.13,0.00,0.00,0.00,2.56,0.00,0.00,0.00,0.00,0.00,0.00,5.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.13,0.00,0.00
" to see how msm spreads hate against opponents of pharma check out article pharma funds nbc news  so she suggests without proof that child died because mom got true fact on smv about tamiflu another shameful misuse of a family tragedy for pharma profit",44,93.26,67.52,1.00,3.73,44.00,25.00,70.45,36.36,6.82,2.27,0.00,0.00,0.00,2.27,0.00,4.55,2.27,20.45,0.00,6.82,6.82,2.27,9.09,2.27,0.00,2.27,0.00,2.27,11.36,4.55,6.82,2.27,2.27,2.27,11.36,4.55,0.00,4.55,0.00,15.91,0.00,4.55,0.00,0.00,6.82,4.55,2.27,2.27,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.36,2.27,0.00,4.55,4.55,0.00,4.55,4.55,0.00,4.55,0.00,4.55,0.00,2.27,2.27,2.27,4.55,0.00,2.27,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
" child ill with flundoctor prescribes tamiflunmother goes onto antivax facebook group applies essential oils and puts potato in socknchild unfortunately passes awaynnwhat world are we living in where children are dying and we believe fucking sheila over a doctornni despair",40,90.61,95.99,74.76,1.00,40.00,37.50,82.50,32.50,5.00,5.00,0.00,5.00,0.00,0.00,0.00,0.00,2.50,12.50,5.00,2.50,5.00,0.00,17.50,5.00,0.00,2.50,0.00,2.50,7.50,0.00,7.50,0.00,2.50,2.50,15.00,0.00,0.00,0.00,0.00,5.00,2.50,0.00,0.00,0.00,2.50,0.00,2.50,0.00,0.00,0.00,15.00,0.00,10.00,2.50,2.50,20.00,10.00,0.00,10.00,0.00,0.00,0.00,15.00,0.00,22.50,7.50,15.00,0.00,2.50,2.50,0.00,0.00,0.00,2.50,2.50,2.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
" tamiflu might have helped and she ignored the doc and that likely contributed to her child's demise fucking horrendous",19,35.06,85.38,1.00,1.00,19.00,26.32,78.95,47.37,15.79,10.53,0.00,0.00,0.00,10.53,0.00,5.26,5.26,5.26,10.53,0.00,10.53,0.00,21.05,5.26,0.00,0.00,0.00,0.00,10.53,0.00,10.53,0.00,5.26,0.00,15.79,0.00,0.00,10.53,0.00,10.53,0.00,0.00,0.00,10.53,0.00,0.00,0.00,0.00,0.00,0.00,5.26,0.00,0.00,5.26,0.00,5.26,0.00,0.00,5.26,0.00,0.00,10.53,5.26,5.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.26,5.26,5.26,0.00,0.00,0.00,0.00,5.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.26,0.00,0.00
" also the kid literally died without taking tamiflu what does that tell you? (hint it means the flu can lead to death so the correlation of tamiflu  tylenol and flu death is literally just a spurious correlation go take basic statistics)",41,60.92,68.71,14.43,25.77,20.50,24.39,82.93,43.90,9.76,2.44,0.00,0.00,2.44,0.00,0.00,7.32,9.76,7.32,7.32,7.32,7.32,2.44,19.51,2.44,0.00,2.44,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.32,0.00,0.00,0.00,0.00,12.20,7.32,2.44,0.00,0.00,0.00,2.44,0.00,0.00,0.00,0.00,7.32,0.00,7.32,0.00,0.00,9.76,0.00,2.44,4.88,4.88,0.00,2.44,17.07,0.00,4.88,4.88,0.00,0.00,2.44,0.00,0.00,0.00,0.00,7.32,0.00,0.00,0.00,0.00,0.00,0.00,7.32,0.00,0.00,0.00,0.00,2.44,0.00,0.00,0.00,0.00,4.88,0.00
" antivirals like tamiflu are only prescribed when a patient is genuinely in danger of dying from the flu the amount of cases where people say nah i don't need it the doctors just overreacting and end up dead is rampant",40,78.30,40.12,15.86,2.89,40.00,20.00,85.00,55.00,5.00,2.50,2.50,0.00,0.00,0.00,0.00,2.50,10.00,15.00,10.00,10.00,5.00,5.00,15.00,0.00,2.50,5.00,0.00,2.50,2.50,0.00,2.50,0.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00,5.00,2.50,0.00,2.50,0.00,0.00,0.00,2.50,0.00,2.50,0.00,7.50,0.00,7.50,0.00,0.00,7.50,0.00,0.00,5.00,0.00,2.50,0.00,15.00,0.00,12.50,0.00,7.50,5.00,2.50,0.00,0.00,0.00,0.00,5.00,2.50,0.00,2.50,0.00,0.00,0.00,2.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.50,0.00,0.00
" but she didnut give her child the tamiflu thatus why the child died nnfuck antivaxxers",15,70.69,99.00,1.00,25.77,15.00,13.33,66.67,40.00,13.33,13.33,0.00,0.00,0.00,13.33,0.00,0.00,13.33,0.00,0.00,6.67,6.67,0.00,13.33,0.00,0.00,6.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,33.33,0.00,0.00,13.33,0.00,13.33,0.00,6.67,0.00,0.00,0.00,6.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.33,0.00,0.00,13.33,0.00,0.00,6.67,6.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
" on facebook antivaxxers urged a mom not to give her son tamiflu he later diedn kills)",16,93.26,99.00,1.00,1.00,16.00,18.75,75.00,37.50,12.50,12.50,0.00,0.00,0.00,12.50,0.00,0.00,6.25,12.50,0.00,0.00,0.00,6.25,6.25,6.25,6.25,0.00,0.00,0.00,6.25,0.00,6.25,0.00,6.25,0.00,37.50,12.50,0.00,12.50,12.50,6.25,0.00,0.00,0.00,0.00,0.00,6.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.25,6.25,0.00,0.00,0.00,0.00,0.00,6.25,0.00,12.50,0.00,6.25,6.25,0.00,6.25,0.00,0.00,0.00,6.25,0.00,0.00,0.00,0.00,0.00,0.00,6.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.25,0.00
" the side effects for tamiflu are really wild especially in children ucextreme aggression and self harmud are some of them unless thatus changed since i last looked i def encourage people to ask their dr for a different medication but not a fucking berry from the bush wtf",48,93.26,26.60,84.47,4.56,48.00,22.92,83.33,47.92,8.33,8.33,4.17,0.00,0.00,0.00,4.17,0.00,8.33,16.67,4.17,4.17,6.25,2.08,10.42,4.17,2.08,0.00,0.00,2.08,6.25,2.08,4.17,0.00,4.17,0.00,14.58,0.00,0.00,0.00,0.00,20.83,2.08,6.25,0.00,2.08,2.08,10.42,2.08,2.08,0.00,0.00,6.25,0.00,4.17,2.08,0.00,6.25,2.08,0.00,4.17,0.00,0.00,4.17,6.25,0.00,10.42,2.08,4.17,4.17,0.00,0.00,0.00,0.00,0.00,0.00,4.17,4.17,2.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
" check out this story today about a  year old who died after antivaxxers urged his mom not to give him the tamiflu he was prescribed and use lavender and potatoes instead ",31,63.48,90.14,8.87,25.77,31.00,19.35,83.87,51.61,16.13,9.68,0.00,0.00,0.00,9.68,0.00,6.45,6.45,12.90,3.23,6.45,6.45,3.23,12.90,3.23,3.23,3.23,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,22.58,3.23,0.00,3.23,9.68,9.68,0.00,3.23,0.00,0.00,0.00,6.45,0.00,0.00,0.00,0.00,6.45,0.00,3.23,0.00,3.23,0.00,0.00,0.00,0.00,0.00,0.00,6.45,9.68,0.00,16.13,0.00,3.23,12.90,0.00,0.00,0.00,0.00,0.00,3.23,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
" would love to waterboard antivaxxers in a tamiflu tank then when they don't dieusince of course they've received tamifluuwe can circle back and give them the biggest i told you so by converting their fb pages into shrines to kpop artistsnnmy plan is extremely good ",45,34.14,97.69,18.21,94.19,45.00,24.44,77.78,53.33,13.33,13.33,2.22,0.00,2.22,0.00,8.89,0.00,4.44,13.33,11.11,8.89,8.89,2.22,13.33,2.22,2.22,2.22,0.00,0.00,4.44,4.44,0.00,0.00,0.00,0.00,22.22,0.00,0.00,0.00,0.00,4.44,0.00,0.00,2.22,0.00,2.22,0.00,2.22,2.22,0.00,0.00,2.22,0.00,0.00,0.00,0.00,11.11,4.44,2.22,2.22,2.22,0.00,4.44,8.89,4.44,15.56,2.22,8.89,8.89,2.22,0.00,0.00,0.00,2.22,0.00,2.22,0.00,2.22,0.00,0.00,0.00,4.44,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.44,0.00,0.00
" i get that i had a severe reaction to the flu shot but i'd never advocate for people not getting theirs you can have an allergy to anything at any time i'm my daughter's only parent and i honestly could have died so i'm very thankful i got the tamiflu",50,6.65,11.52,69.14,63.69,50.00,18.00,94.00,64.00,24.00,20.00,16.00,0.00,2.00,0.00,2.00,4.00,8.00,8.00,16.00,8.00,6.00,4.00,22.00,2.00,0.00,0.00,0.00,2.00,6.00,4.00,2.00,0.00,0.00,0.00,10.00,4.00,0.00,2.00,0.00,14.00,0.00,2.00,2.00,4.00,2.00,4.00,0.00,0.00,0.00,0.00,4.00,0.00,4.00,0.00,0.00,8.00,2.00,0.00,0.00,6.00,0.00,6.00,12.00,0.00,6.00,0.00,2.00,4.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,8.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.00,0.00,0.00
" the whole story is bullshit  the mother was never interviewed and disputes the whole story  the kid was vaccinated  most of the kids who die of flu are vaccinated and get tamiflu",32,85.32,94.08,1.00,25.77,32.00,18.75,87.50,46.88,3.12,0.00,0.00,0.00,0.00,0.00,0.00,3.12,15.62,6.25,12.50,3.12,6.25,3.12,18.75,3.12,3.12,3.12,0.00,9.38,0.00,0.00,0.00,0.00,0.00,0.00,21.88,3.12,0.00,3.12,0.00,6.25,0.00,0.00,0.00,3.12,3.12,0.00,0.00,0.00,0.00,0.00,3.12,0.00,3.12,0.00,0.00,6.25,0.00,0.00,3.12,3.12,0.00,6.25,12.50,0.00,3.12,0.00,0.00,3.12,3.12,0.00,0.00,0.00,0.00,3.12,3.12,3.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
" she did take the prescription the doctor gave her she reported it to several news stations the doctor recommended tamiflu the boy died after should the doctor be arrested? what about tamiflu makers?udeudd",34,90.07,96.11,1.00,25.77,17.00,23.53,82.35,47.06,14.71,8.82,0.00,0.00,0.00,8.82,0.00,5.88,14.71,8.82,8.82,2.94,0.00,0.00,17.65,2.94,2.94,2.94,0.00,2.94,0.00,0.00,0.00,0.00,0.00,0.00,17.65,0.00,0.00,8.82,2.94,5.88,0.00,2.94,2.94,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.76,0.00,11.76,0.00,0.00,11.76,0.00,0.00,8.82,2.94,0.00,8.82,5.88,0.00,2.94,0.00,0.00,2.94,11.76,0.00,0.00,0.00,0.00,2.94,0.00,0.00,0.00,0.00,0.00,0.00,5.88,0.00,0.00,0.00,0.00,5.88,0.00,0.00,0.00,0.00,0.00,0.00
" corrected? by who? has she changed her original statements regarding tamiflu?  nium not dunking this is what antivax mentality leads to ni do feel for the mother i think she was taken advantage of by larry cook amp; friends for her other kids sakes i hope she learns from this",50,63.83,78.82,1.59,99.00,12.50,22.00,82.00,52.00,24.00,14.00,4.00,0.00,0.00,10.00,0.00,10.00,2.00,16.00,8.00,0.00,0.00,2.00,20.00,2.00,0.00,4.00,0.00,0.00,6.00,6.00,0.00,0.00,0.00,0.00,18.00,2.00,2.00,12.00,0.00,20.00,8.00,4.00,2.00,2.00,2.00,4.00,2.00,0.00,0.00,2.00,2.00,0.00,0.00,0.00,2.00,8.00,2.00,4.00,2.00,4.00,0.00,6.00,14.00,2.00,4.00,4.00,0.00,0.00,4.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.00,0.00,0.00,0.00,2.00,6.00,0.00,0.00,0.00,0.00,0.00,0.00
" heartwrenching i wish this poor mom had given her son the tamiflu since it was recommended by the doctor who treated him the uantivaxx groupu have crossed the line ium an advocate of natural remedies for some illnesses but pharmaceuticals are still invaluable amp; lifesaving",45,84.62,86.68,1.00,3.92,45.00,28.89,73.33,46.67,13.33,6.67,2.22,0.00,0.00,4.44,0.00,6.67,11.11,8.89,8.89,2.22,2.22,0.00,13.33,4.44,0.00,2.22,0.00,4.44,2.22,0.00,2.22,0.00,0.00,0.00,15.56,4.44,0.00,4.44,4.44,8.89,0.00,2.22,2.22,2.22,0.00,2.22,0.00,0.00,0.00,0.00,6.67,0.00,6.67,0.00,0.00,6.67,2.22,0.00,4.44,0.00,0.00,6.67,4.44,2.22,4.44,0.00,0.00,4.44,2.22,0.00,0.00,2.22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.22,0.00,0.00,0.00,2.22,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"  years ago tamiflu almost killed me it took me months to get back to normal i could barely walk talk eat my mind was all twek too it's deadly amp; should not be sold praying for this family",38,12.81,14.62,50.35,2.51,38.00,5.26,86.84,50.00,18.42,10.53,10.53,0.00,0.00,0.00,0.00,7.89,0.00,7.89,13.16,10.53,0.00,2.63,28.95,2.63,0.00,0.00,0.00,2.63,2.63,0.00,2.63,0.00,2.63,0.00,5.26,2.63,0.00,0.00,0.00,15.79,0.00,0.00,5.26,5.26,2.63,2.63,0.00,0.00,0.00,0.00,2.63,0.00,0.00,0.00,2.63,7.89,2.63,0.00,0.00,5.26,0.00,10.53,15.79,2.63,13.16,2.63,2.63,10.53,0.00,2.63,2.63,2.63,2.63,2.63,0.00,0.00,0.00,0.00,0.00,0.00,5.26,0.00,0.00,0.00,2.63,0.00,0.00,0.00,0.00,2.63,0.00,0.00
" he didn't die because he did or didn't get tamiflu his mother didn't kill him the flu did poor woman (because our job is to keep our kids safe and even when its out of our hands we feel we're failures)  uddude rip little one",45,2.34,98.62,2.21,1.00,45.00,8.89,93.33,57.78,22.22,20.00,0.00,11.11,0.00,8.89,0.00,2.22,2.22,6.67,13.33,4.44,11.11,6.67,24.44,4.44,0.00,2.22,2.22,0.00,8.89,2.22,6.67,0.00,2.22,2.22,26.67,2.22,0.00,4.44,8.89,15.56,2.22,4.44,0.00,2.22,0.00,8.89,4.44,0.00,0.00,4.44,4.44,2.22,2.22,0.00,0.00,20.00,11.11,2.22,4.44,2.22,4.44,11.11,13.33,0.00,6.67,0.00,4.44,2.22,4.44,0.00,0.00,2.22,0.00,4.44,0.00,0.00,0.00,0.00,0.00,0.00,13.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.89,4.44,0.00
" so this is a case where the parents should be prosecuted they had two chances to prevent this vaccinate child did not do it give him tamiflu did not do it child died they killed him through overt neglect please have case referred to grand jury ",46,12.65,80.77,1.00,25.77,46.00,19.57,82.61,56.52,17.39,8.70,0.00,0.00,0.00,4.35,4.35,8.70,4.35,6.52,19.57,4.35,2.17,4.35,23.91,2.17,0.00,2.17,2.17,0.00,8.70,4.35,4.35,0.00,2.17,2.17,17.39,2.17,0.00,0.00,4.35,8.70,2.17,0.00,2.17,0.00,0.00,4.35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.70,2.17,0.00,4.35,0.00,2.17,8.70,13.04,0.00,2.17,0.00,2.17,0.00,0.00,0.00,0.00,0.00,0.00,4.35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
