Source (A),WC,Analytic,Clout,Authentic,Tone,WPS,Sixltr,Dic,function,pronoun,ppron,i,we,you,shehe,they,ipron,article,prep,auxverb,adverb,conj,negate,verb,adj,compare,interrog,number,quant,affect,posemo,negemo,anx,anger,sad,social,family,friend,female,male,cogproc,insight,cause,discrep,tentat,certain,differ,percept,see,hear,feel,bio,body,health,sexual,ingest,drives,affiliation,achieve,power,reward,risk,focuspast,focuspresent,focusfuture,relativ,motion,space,time,work,leisure,home,money,relig,death,informal,swear,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,Colon,SemiC,QMark,Exclam,Dash,Quote,Apostro,Parenth,OtherP
" hey tamiflu  was darth cheeto planning to have covington catholic has his special guests? was he planning to say how the native american veteran was stopped dead in his tracks by spirited school chants and a silent novena? gt; of america cares about the fucking wall ",46,84.87,86.15,1.00,66.89,15.33,26.09,76.09,41.30,6.52,6.52,0.00,0.00,0.00,6.52,0.00,0.00,6.52,13.04,10.87,4.35,4.35,0.00,17.39,4.35,0.00,2.17,0.00,0.00,6.52,4.35,2.17,0.00,2.17,0.00,13.04,0.00,2.17,0.00,6.52,2.17,0.00,2.17,0.00,0.00,0.00,0.00,4.35,0.00,4.35,0.00,2.17,0.00,0.00,2.17,0.00,8.70,0.00,4.35,2.17,0.00,2.17,8.70,8.70,4.35,6.52,0.00,4.35,2.17,2.17,0.00,0.00,0.00,4.35,2.17,4.35,2.17,0.00,0.00,0.00,0.00,6.52,0.00,0.00,0.00,2.17,4.35,0.00,0.00,0.00,0.00,0.00,0.00
" ich frag mich die ganze zeit ob dk vielleicht die mauer (den zaun) gebaut hat wegen zombies vielleicht gibt's die ja wirklich zombrex dead rising grippemedikament tamiflu und jarrrrrrr vielleicht sehe ich grade zuviel working dead zombies  ist so geil eu cutting fucking sucking",44,87.93,41.03,1.00,3.73,44.00,31.82,34.09,2.27,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.27,2.27,0.00,11.36,2.27,0.00,0.00,0.00,0.00,2.27,0.00,2.27,0.00,2.27,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.27,0.00,0.00,2.27,2.27,0.00,0.00,2.27,0.00,2.27,0.00,2.27,0.00,0.00,0.00,0.00,6.82,0.00,2.27,2.27,0.00,0.00,4.55,0.00,2.27,0.00,0.00,15.91,2.27,2.27,0.00,0.00,0.00,0.00,6.82,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.27,4.55,0.00
" if your doctor never prescribes tamiflu alone without an accompanying antibiotic find a new doctor (hint  thatus most of you frankfort)",21,79.28,50.00,37.24,1.00,21.00,28.57,76.19,38.10,9.52,9.52,0.00,0.00,9.52,0.00,0.00,0.00,9.52,9.52,0.00,4.76,4.76,9.52,4.76,14.29,4.76,0.00,0.00,4.76,4.76,0.00,4.76,0.00,0.00,4.76,9.52,0.00,0.00,0.00,0.00,23.81,4.76,0.00,4.76,9.52,4.76,9.52,0.00,0.00,0.00,0.00,14.29,0.00,14.29,0.00,0.00,14.29,4.76,0.00,9.52,0.00,0.00,0.00,4.76,0.00,9.52,0.00,0.00,9.52,9.52,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.52,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.52,0.00
" heroes get remembered itus legends that never die tamiflu",9,18.82,13.32,58.07,99.00,9.00,33.33,66.67,22.22,11.11,0.00,0.00,0.00,0.00,0.00,0.00,11.11,0.00,0.00,0.00,11.11,0.00,11.11,33.33,0.00,0.00,0.00,0.00,0.00,11.11,11.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,22.22,11.11,0.00,0.00,0.00,11.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.11,0.00,0.00,0.00,11.11,0.00,11.11,22.22,0.00,11.11,0.00,0.00,11.11,0.00,0.00,0.00,0.00,0.00,11.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
" well this is a new one never had to have tamiflu before even with the vaccine this strain is horrendous apparently without it people have been landing in the hospital left and right yikes stay safe out there folks",39,51.25,39.87,63.54,73.64,39.00,17.95,87.18,61.54,7.69,0.00,0.00,0.00,0.00,0.00,0.00,7.69,7.69,15.38,15.38,12.82,2.56,5.13,20.51,7.69,2.56,0.00,2.56,0.00,7.69,5.13,2.56,2.56,0.00,0.00,5.13,2.56,0.00,0.00,0.00,7.69,0.00,0.00,0.00,2.56,2.56,2.56,0.00,0.00,0.00,0.00,2.56,0.00,2.56,0.00,0.00,2.56,0.00,0.00,0.00,0.00,2.56,7.69,12.82,0.00,20.51,2.56,12.82,7.69,0.00,0.00,0.00,0.00,0.00,0.00,2.56,0.00,0.00,0.00,2.56,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
" tamiflu wtf are you talking about? the only thing that we know tonight about the report that we didn't yesterday is that it was deliverednperiod end of story full stopneverything else is baseless",33,13.54,88.71,70.57,25.77,16.50,21.21,90.91,57.58,24.24,9.09,0.00,6.06,3.03,0.00,0.00,15.15,6.06,9.09,15.15,9.09,0.00,3.03,21.21,3.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.15,0.00,0.00,0.00,0.00,9.09,3.03,0.00,0.00,0.00,0.00,6.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.06,6.06,0.00,0.00,0.00,0.00,9.09,12.12,3.03,15.15,3.03,3.03,9.09,3.03,0.00,0.00,0.00,0.00,0.00,3.03,3.03,3.03,0.00,0.00,0.00,6.06,0.00,0.00,0.00,0.00,3.03,0.00,0.00,0.00,3.03,0.00,0.00
" turns out the flu shot is not effectivenncurrently living off of theraflu pods amp; mucinex because my pharmacy is out of tamiflu amp; won't have it until tomorrownnmeanwhilenni'm caught up on grading and grad school worknnbut behind on lesson planning and emailsnnsendhelp ",42,90.75,17.04,99.00,25.77,42.00,26.19,78.57,50.00,4.76,2.38,2.38,0.00,0.00,0.00,0.00,2.38,2.38,23.81,9.52,0.00,9.52,4.76,16.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.52,4.76,4.76,0.00,0.00,0.00,2.38,0.00,0.00,0.00,0.00,7.14,0.00,7.14,0.00,0.00,4.76,0.00,2.38,2.38,0.00,0.00,2.38,9.52,7.14,26.19,4.76,16.67,4.76,9.52,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.52,0.00,0.00,0.00,4.76,0.00,0.00,0.00,0.00,4.76,0.00,0.00
" yearold carlos gregorio hernandez vasquez had complained about feeling unwell but was given tamiflu and kept in immigration custody he was found dead the next day during a welfare check he likely died alone",34,80.67,72.17,14.70,1.00,34.00,29.41,70.59,35.29,5.88,5.88,0.00,0.00,0.00,5.88,0.00,0.00,5.88,8.82,8.82,2.94,5.88,0.00,23.53,5.88,0.00,0.00,0.00,0.00,5.88,0.00,5.88,0.00,0.00,2.94,8.82,0.00,0.00,0.00,5.88,11.76,5.88,0.00,0.00,2.94,0.00,2.94,2.94,0.00,0.00,2.94,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.59,0.00,0.00,11.76,0.00,2.94,8.82,2.94,0.00,0.00,0.00,0.00,5.88,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
" checks my masters in public health vaccines course notesnnthe flu shot is an inactivated virus you can't get the flu from the flu shotnntamiflu was never proven deadly a few adverse neuropsychological reactions in people taking tamiflu could have been from the flu itself",44,87.93,50.00,5.43,3.73,44.00,20.45,77.27,43.18,6.82,4.55,2.27,0.00,2.27,0.00,0.00,2.27,11.36,9.09,11.36,2.27,0.00,4.55,15.91,2.27,0.00,0.00,0.00,2.27,2.27,0.00,2.27,0.00,0.00,0.00,6.82,0.00,0.00,0.00,0.00,11.36,2.27,2.27,2.27,0.00,4.55,2.27,0.00,0.00,0.00,0.00,11.36,0.00,11.36,0.00,0.00,6.82,0.00,0.00,2.27,4.55,0.00,4.55,9.09,0.00,6.82,0.00,4.55,2.27,4.55,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.27,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.27,0.00,0.00
" this refusal goes against the standard of care  nnit's reckless to the point of malice not to vaccinate these kids given their living situation nnkids will continue to die from the flu in federal custody a simple vaccine can save their lives tamiflu won't save them all ",47,96.38,58.41,8.51,99.00,47.00,23.40,76.60,44.68,10.64,6.38,0.00,0.00,0.00,0.00,6.38,4.26,8.51,17.02,6.38,0.00,0.00,4.26,21.28,2.13,0.00,0.00,0.00,2.13,6.38,6.38,0.00,0.00,0.00,0.00,10.64,0.00,0.00,0.00,0.00,6.38,0.00,0.00,0.00,0.00,2.13,4.26,0.00,0.00,0.00,0.00,6.38,0.00,6.38,0.00,0.00,2.13,0.00,0.00,2.13,0.00,0.00,2.13,17.02,4.26,8.51,2.13,4.26,2.13,0.00,0.00,0.00,0.00,0.00,2.13,0.00,0.00,0.00,0.00,0.00,0.00,4.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.26,0.00,0.00
" also why the fuck is tamiflu over  without insurance uddude illjustdie itsokay",12,62.04,1.00,23.51,1.00,12.00,41.67,66.67,50.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.33,16.67,8.33,16.67,8.33,8.33,16.67,0.00,0.00,8.33,0.00,0.00,8.33,0.00,8.33,0.00,8.33,0.00,0.00,0.00,0.00,0.00,0.00,16.67,0.00,8.33,0.00,0.00,0.00,8.33,0.00,0.00,0.00,0.00,8.33,0.00,0.00,8.33,0.00,8.33,0.00,0.00,8.33,0.00,0.00,0.00,16.67,0.00,8.33,0.00,8.33,0.00,0.00,0.00,0.00,8.33,0.00,0.00,8.33,8.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
" hi doctor is that true that swine flu is a man made disease? with pharma companies to encash on the sale of tamiflu is it true? poor pigs being buried alive where is humanity? itus dead ngovegan nendspeciesism",38,82.45,78.51,1.00,74.74,9.50,15.79,81.58,39.47,7.89,0.00,0.00,0.00,0.00,0.00,0.00,7.89,5.26,10.53,13.16,2.63,0.00,0.00,15.79,10.53,0.00,2.63,0.00,0.00,7.89,5.26,2.63,0.00,0.00,0.00,7.89,0.00,0.00,0.00,2.63,7.89,0.00,2.63,0.00,0.00,5.26,0.00,0.00,0.00,0.00,0.00,10.53,0.00,10.53,0.00,0.00,7.89,2.63,0.00,5.26,0.00,0.00,2.63,10.53,0.00,5.26,0.00,5.26,0.00,7.89,0.00,0.00,5.26,0.00,7.89,0.00,0.00,0.00,0.00,0.00,0.00,7.89,0.00,0.00,0.00,0.00,7.89,0.00,0.00,0.00,0.00,0.00,0.00
" urgent care wellnessn) presign  prescriptions for zpaks and  work notesn) give them to the clerk to offer to patients before they check inn) go out to lunchnndonut actually do thisnwithout including tamiflu in the plan too",36,99.00,79.76,11.80,77.00,36.00,25.00,72.22,47.22,5.56,5.56,0.00,0.00,0.00,0.00,5.56,0.00,5.56,25.00,2.78,5.56,2.78,0.00,11.11,2.78,2.78,0.00,0.00,0.00,2.78,2.78,0.00,0.00,0.00,0.00,11.11,0.00,0.00,0.00,0.00,2.78,0.00,0.00,0.00,0.00,0.00,2.78,0.00,0.00,0.00,0.00,5.56,0.00,2.78,0.00,2.78,5.56,0.00,5.56,0.00,0.00,0.00,0.00,13.89,2.78,11.11,2.78,5.56,2.78,2.78,2.78,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.33,0.00
" omfgggg they gave you antibiotics???? the flu is viralllllll udeuddudcudffcuduufe0fudeuddudcudffcuduufe0fudeuddudcudffcuduufe0fudeuddudcudffcuduufe0f you need tamiflu amp; teas cough syrup cough drops dayquil nyquil pain killers fluids amp; rest lol i had it too and i almost fucking died uddude0uddude0",37,33.21,86.02,1.00,1.00,18.50,24.32,64.86,32.43,16.22,13.51,5.41,0.00,5.41,0.00,2.70,2.70,2.70,0.00,5.41,5.41,2.70,0.00,13.51,2.70,0.00,0.00,0.00,0.00,13.51,2.70,10.81,0.00,8.11,0.00,13.51,0.00,0.00,0.00,0.00,5.41,0.00,0.00,2.70,2.70,0.00,0.00,2.70,0.00,0.00,2.70,13.51,0.00,10.81,2.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.11,5.41,0.00,2.70,0.00,0.00,2.70,0.00,0.00,0.00,0.00,0.00,5.41,5.41,2.70,2.70,0.00,0.00,0.00,16.22,0.00,0.00,0.00,5.41,10.81,0.00,0.00,0.00,0.00,0.00,0.00
" no one cares what you do but the flu can and does kill otherwise healthy people about 000 people in the us alone died from the flu in the  season the vaccine may help keep you from getting it and drugs like xofluza or tamiflu can lessen the symptoms if you do get",53,66.22,87.12,5.35,25.77,53.00,13.21,90.57,58.49,11.32,7.55,0.00,1.89,5.66,0.00,0.00,3.77,11.32,11.32,11.32,1.89,11.32,1.89,16.98,3.77,1.89,1.89,3.77,0.00,7.55,3.77,3.77,0.00,1.89,1.89,13.21,0.00,0.00,0.00,0.00,9.43,0.00,0.00,1.89,5.66,0.00,7.55,0.00,0.00,0.00,0.00,7.55,0.00,7.55,0.00,0.00,7.55,3.77,0.00,1.89,3.77,0.00,1.89,15.09,1.89,5.66,0.00,3.77,1.89,0.00,0.00,0.00,0.00,0.00,3.77,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
" news but sanofi will exit research in diabetes and cardiovascular disease finishing studies on a major diabetes medicine it is developing without plans to bring it to market ",28,89.26,14.19,74.76,25.77,28.00,35.71,89.29,42.86,7.14,0.00,0.00,0.00,0.00,0.00,0.00,7.14,3.57,17.86,7.14,0.00,7.14,3.57,14.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.14,0.00,0.00,0.00,0.00,0.00,7.14,0.00,0.00,0.00,0.00,17.86,0.00,17.86,0.00,0.00,3.57,0.00,3.57,0.00,0.00,0.00,0.00,7.14,7.14,17.86,3.57,10.71,3.57,14.29,0.00,0.00,3.57,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
" up most of the night with a sick kid grateful for my wofe who let me sleep a little this morning hoping tamiflu helps kid get through her birthday weekend  fever is scary hot never want to feel that on her again",42,87.62,76.25,37.24,70.57,42.00,14.29,95.24,50.00,16.67,9.52,4.76,0.00,0.00,4.76,0.00,7.14,7.14,16.67,4.76,4.76,0.00,2.38,16.67,9.52,2.38,2.38,0.00,2.38,11.90,7.14,4.76,2.38,0.00,0.00,14.29,0.00,0.00,4.76,0.00,11.90,2.38,0.00,4.76,4.76,2.38,0.00,4.76,0.00,0.00,4.76,7.14,2.38,4.76,0.00,0.00,11.90,2.38,0.00,7.14,2.38,0.00,0.00,11.90,2.38,21.43,0.00,7.14,14.29,0.00,2.38,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
" last time we had a pandemic media jerkfest tamiflu made its owners mucho dinero a friend of mine who was unwell and had visited china went to hospital got pumped full of the stuff died of liver failure tamiflu later found to be no more effective than asprin but very toxic",51,82.54,65.27,53.79,5.16,51.00,15.69,82.35,43.14,9.80,3.92,1.96,1.96,0.00,0.00,0.00,5.88,5.88,11.76,7.84,1.96,3.92,1.96,19.61,7.84,5.88,1.96,0.00,3.92,1.96,0.00,1.96,0.00,0.00,1.96,9.80,0.00,1.96,0.00,0.00,9.80,3.92,3.92,0.00,0.00,0.00,3.92,0.00,0.00,0.00,0.00,5.88,1.96,3.92,0.00,0.00,9.80,3.92,1.96,3.92,1.96,1.96,17.65,1.96,0.00,11.76,3.92,1.96,5.88,1.96,0.00,0.00,1.96,0.00,1.96,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
" ium skeptical of a lot of modern medicine but my son almost died from the flu when he was two  degree fever trouble breathing terrifying hospital gave him tamiflu and the next day it was like he had never been sick  like any medicine it may help some and kill others",51,42.68,65.27,6.20,1.00,51.00,15.69,94.12,50.98,13.73,7.84,1.96,0.00,0.00,5.88,0.00,5.88,5.88,9.80,9.80,5.88,7.84,1.96,13.73,7.84,3.92,1.96,1.96,5.88,9.80,0.00,7.84,1.96,1.96,0.00,11.76,1.96,0.00,0.00,7.84,17.65,1.96,0.00,0.00,11.76,1.96,3.92,0.00,0.00,0.00,0.00,13.73,1.96,11.76,0.00,0.00,3.92,1.96,0.00,1.96,0.00,1.96,11.76,0.00,1.96,9.80,0.00,0.00,9.80,0.00,0.00,0.00,0.00,0.00,3.92,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
" please read past the headlines when you see an article urging the flu vaccine this year's infections are virulent and sometimes deadly a friend who is a nurse has watched several people die of the flu but we're not hearing the whole story  ",43,79.72,91.85,5.92,69.60,43.00,20.93,83.72,44.19,9.30,4.65,0.00,2.33,2.33,0.00,0.00,4.65,16.28,2.33,6.98,2.33,6.98,2.33,18.60,0.00,0.00,4.65,0.00,4.65,2.33,2.33,0.00,0.00,0.00,0.00,16.28,0.00,2.33,0.00,0.00,6.98,0.00,0.00,0.00,2.33,0.00,4.65,6.98,4.65,2.33,0.00,9.30,0.00,9.30,0.00,0.00,4.65,4.65,0.00,0.00,0.00,0.00,4.65,13.95,0.00,6.98,0.00,0.00,6.98,2.33,0.00,0.00,0.00,0.00,2.33,0.00,0.00,0.00,0.00,0.00,0.00,4.65,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.65,0.00,0.00
" this is the death of journalism cnn totally missed the real story here nnuddudca  this healthy teenage girl died after taking tamiflu uddudcannwe will never know if she would have lived had she not taken that medication but there are ",40,11.86,50.00,1.00,25.77,40.00,20.00,85.00,55.00,12.50,5.00,0.00,0.00,0.00,5.00,0.00,7.50,5.00,5.00,15.00,10.00,5.00,5.00,30.00,5.00,2.50,0.00,0.00,0.00,5.00,2.50,2.50,0.00,0.00,2.50,12.50,0.00,0.00,7.50,0.00,17.50,2.50,0.00,5.00,2.50,5.00,7.50,0.00,0.00,0.00,0.00,5.00,0.00,5.00,0.00,0.00,7.50,0.00,0.00,2.50,5.00,0.00,12.50,10.00,2.50,5.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
" watching the snow fall as oliver babbles and plays he's feeling better thanks to the tamiflu and lots of sleep thank goodness it's the weekend uufe0f ",26,88.90,64.99,1.40,99.00,26.00,23.08,80.77,38.46,7.69,3.85,0.00,0.00,0.00,3.85,0.00,3.85,11.54,11.54,7.69,0.00,11.54,0.00,23.08,7.69,7.69,0.00,0.00,3.85,19.23,19.23,0.00,0.00,0.00,0.00,3.85,0.00,0.00,0.00,3.85,7.69,3.85,0.00,0.00,3.85,0.00,0.00,7.69,3.85,0.00,3.85,3.85,3.85,0.00,0.00,0.00,3.85,0.00,3.85,0.00,3.85,0.00,0.00,15.38,0.00,7.69,3.85,0.00,3.85,0.00,7.69,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.69,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.69,0.00,0.00
" tamiflunnerin foster comedy writer amp; actress took to social mediau00a0to detail her terrifying experience with tamiflunnshe described having a clear voice in her head prompting her to kill herself despite never having suicidal thoughts in the pastnn ",37,93.26,79.13,1.00,2.30,37.00,32.43,78.38,40.54,10.81,10.81,0.00,0.00,0.00,10.81,0.00,0.00,5.41,16.22,5.41,2.70,0.00,2.70,10.81,5.41,0.00,0.00,0.00,0.00,8.11,2.70,5.41,2.70,2.70,0.00,13.51,0.00,0.00,10.81,0.00,10.81,2.70,0.00,0.00,0.00,5.41,2.70,8.11,2.70,2.70,0.00,2.70,2.70,0.00,0.00,0.00,5.41,2.70,0.00,0.00,2.70,0.00,2.70,0.00,0.00,8.11,0.00,5.41,2.70,2.70,5.41,0.00,0.00,0.00,5.41,0.00,0.00,0.00,0.00,0.00,0.00,2.70,0.00,0.00,0.00,2.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00
" letus talk about how many people stay stuck in dead end jobs bc of healthcare benefits? or how many people die bc they canut afford  tamiflu or from rationing insulin to put food on the table? we can do better eus",41,67.40,83.54,40.20,96.29,13.67,12.20,80.49,41.46,4.88,4.88,0.00,2.44,0.00,0.00,2.44,0.00,2.44,14.63,4.88,7.32,14.63,0.00,12.20,2.44,2.44,4.88,0.00,4.88,4.88,4.88,0.00,0.00,0.00,0.00,12.20,0.00,0.00,0.00,0.00,14.63,0.00,9.76,0.00,4.88,0.00,4.88,0.00,0.00,0.00,0.00,4.88,0.00,2.44,0.00,2.44,7.32,2.44,2.44,0.00,4.88,0.00,2.44,12.20,0.00,14.63,4.88,9.76,2.44,4.88,0.00,0.00,0.00,0.00,4.88,4.88,0.00,4.88,0.00,0.00,0.00,4.88,0.00,0.00,0.00,0.00,4.88,0.00,0.00,0.00,0.00,0.00,0.00
" yes i was hit when i was skiing at big sky alone spent  of  days of vacation sleeping amp; looking at the snow out the window not fun the lodge staff were wonderful tho almost ended up in hospital tamiflu helped some good luck get well flu sucks still coughing",50,85.72,15.86,87.83,99.00,50.00,14.00,92.00,42.00,4.00,4.00,4.00,0.00,0.00,0.00,0.00,0.00,6.00,14.00,6.00,10.00,4.00,2.00,24.00,10.00,0.00,2.00,0.00,2.00,14.00,10.00,4.00,0.00,2.00,2.00,0.00,0.00,0.00,0.00,0.00,8.00,0.00,0.00,0.00,6.00,0.00,2.00,2.00,2.00,0.00,0.00,8.00,2.00,6.00,0.00,0.00,12.00,0.00,0.00,6.00,6.00,0.00,12.00,4.00,0.00,22.00,0.00,14.00,8.00,2.00,6.00,2.00,2.00,0.00,0.00,8.00,2.00,2.00,2.00,2.00,0.00,2.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
" couldn't agree more my son almost died of flu in  the flu vaccine amp; tamiflu amp; our hospital staff saved his life if more people got vaccinated he may never have been infected in the first place flu kills thousands every year getting vaccinated could increase herd immunity",48,56.25,66.17,1.79,25.77,48.00,22.92,83.33,35.42,8.33,8.33,2.08,2.08,0.00,4.17,0.00,0.00,4.17,6.25,10.42,4.17,2.08,4.17,16.67,4.17,4.17,0.00,4.17,6.25,4.17,2.08,2.08,0.00,2.08,0.00,10.42,2.08,0.00,0.00,6.25,14.58,0.00,0.00,6.25,6.25,4.17,2.08,0.00,0.00,0.00,0.00,14.58,0.00,14.58,0.00,0.00,10.42,2.08,2.08,2.08,4.17,0.00,6.25,2.08,2.08,14.58,2.08,6.25,6.25,2.08,0.00,0.00,0.00,0.00,4.17,2.08,0.00,0.00,2.08,0.00,0.00,6.25,0.00,0.00,0.00,4.17,0.00,0.00,0.00,0.00,2.08,0.00,0.00
" the covid kills  of old people and it's also more contagious than the flu nalso we have tamiflu which reduces the impact of the flu nyoung people aren't likely to die from the coronavirus but if this becomes widespread (it will) someone you know will probably die",47,49.07,66.48,8.51,4.35,47.00,17.02,82.98,57.45,14.89,4.26,0.00,2.13,2.13,0.00,0.00,10.64,10.64,10.64,12.77,4.26,8.51,2.13,19.15,4.26,4.26,2.13,0.00,2.13,2.13,0.00,2.13,0.00,2.13,0.00,10.64,0.00,0.00,0.00,0.00,19.15,4.26,0.00,2.13,8.51,0.00,8.51,0.00,0.00,0.00,0.00,6.38,0.00,6.38,0.00,0.00,2.13,2.13,0.00,0.00,0.00,0.00,0.00,14.89,4.26,2.13,0.00,0.00,2.13,0.00,0.00,0.00,0.00,0.00,6.38,0.00,0.00,0.00,0.00,0.00,0.00,8.51,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.26,4.26,0.00
" also even if true the lawsuit doesn't assert that tamiflu is deadly just ineffective yet antivaxxers are claiming that tamiflu kills there's no proof of that and irresponsibly they're doing it in a season expected to end w record numbers of deaths amp; hospitalizations",44,21.87,32.48,1.00,3.73,44.00,22.73,75.00,52.27,9.09,0.00,0.00,0.00,0.00,0.00,0.00,9.09,4.55,9.09,13.64,11.36,6.82,4.55,13.64,2.27,0.00,0.00,0.00,0.00,6.82,2.27,4.55,0.00,2.27,0.00,2.27,0.00,0.00,0.00,0.00,9.09,0.00,0.00,4.55,2.27,4.55,2.27,0.00,0.00,0.00,0.00,2.27,0.00,2.27,0.00,0.00,4.55,0.00,2.27,2.27,0.00,0.00,0.00,11.36,2.27,9.09,0.00,2.27,6.82,2.27,0.00,0.00,0.00,0.00,4.55,0.00,0.00,0.00,0.00,0.00,0.00,9.09,0.00,0.00,0.00,2.27,0.00,0.00,0.00,0.00,6.82,0.00,0.00
" my friend was tested for coronavirus so she ujustu has influenza but hang on that kills how many people a year in uk? tamiflu apparently is fantastic and luckily she is on the mend uufe0f ournhsuddudefudcudffd ",36,38.60,71.09,11.80,77.00,18.00,19.44,77.78,52.78,11.11,8.33,2.78,0.00,0.00,5.56,0.00,2.78,5.56,11.11,11.11,8.33,11.11,0.00,16.67,2.78,0.00,2.78,0.00,2.78,8.33,5.56,2.78,0.00,2.78,0.00,11.11,0.00,2.78,5.56,0.00,11.11,0.00,2.78,0.00,5.56,0.00,2.78,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.78,2.78,0.00,0.00,0.00,0.00,5.56,11.11,0.00,13.89,2.78,8.33,2.78,2.78,0.00,0.00,0.00,0.00,2.78,0.00,0.00,0.00,0.00,0.00,0.00,2.78,0.00,0.00,0.00,0.00,2.78,0.00,0.00,0.00,0.00,0.00,0.00
" eliminate private insurance  it is killing me  i spend at least k a year for medical  also medication cheaper to buy without insurance  had to do that to get tamiflu this week  ",32,72.69,17.42,35.37,1.42,32.00,31.25,93.75,50.00,15.62,6.25,6.25,0.00,0.00,0.00,0.00,9.38,3.12,18.75,9.38,3.12,3.12,3.12,15.62,6.25,6.25,0.00,0.00,3.12,3.12,0.00,3.12,0.00,3.12,0.00,3.12,0.00,0.00,0.00,0.00,3.12,0.00,0.00,0.00,0.00,0.00,3.12,0.00,0.00,0.00,0.00,6.25,0.00,6.25,0.00,0.00,6.25,0.00,0.00,3.12,3.12,0.00,3.12,12.50,0.00,9.38,0.00,3.12,6.25,0.00,0.00,0.00,15.62,0.00,3.12,3.12,0.00,3.12,3.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
